"Label (Grouping)","Lansing city, Michigan!!Total!!Estimate","Lansing city, Michigan!!Total!!Margin of Error","Lansing city, Michigan!!Now married (except separated)!!Estimate","Lansing city, Michigan!!Now married (except separated)!!Margin of Error","Lansing city, Michigan!!Widowed!!Estimate","Lansing city, Michigan!!Widowed!!Margin of Error","Lansing city, Michigan!!Divorced!!Estimate","Lansing city, Michigan!!Divorced!!Margin of Error","Lansing city, Michigan!!Separated!!Estimate","Lansing city, Michigan!!Separated!!Margin of Error","Lansing city, Michigan!!Never married!!Estimate","Lansing city, Michigan!!Never married!!Margin of Error"
"Population 15 years and over","90,687","±1,720","37.9%","±3.0","4.3%","±1.0","13.4%","±1.8","2.0%","±0.8","42.4%","±2.6"
"AGE AND SEX","","","","","","","","","","","",""
"    Males 15 years and over","43,365","±1,602","39.2%","±3.4","1.3%","±0.9","10.9%","±2.5","1.3%","±0.9","47.3%","±3.2"
"15 to 19 years","4,302","±1,067","0.0%","±3.1","0.0%","±3.1","0.0%","±3.1","0.0%","±3.1","100.0%","±3.1"
"20 to 34 years","14,921","±1,451","22.6%","±4.4","0.0%","±0.9","1.4%","±1.2","0.0%","±0.9","76.0%","±4.5"
"35 to 44 years","7,154","±962","46.3%","±11.1","0.0%","±1.9","16.4%","±6.6","3.6%","±3.9","33.6%","±9.9"
"45 to 54 years","6,757","±792","56.5%","±8.6","0.0%","±2.0","20.5%","±7.8","0.5%","±0.8","22.5%","±7.5"
"55 to 64 years","5,807","±836","64.6%","±9.4","1.7%","±1.4","18.9%","±9.1","1.8%","±2.1","13.1%","±6.2"
"65 years and over","4,424","±769","61.9%","±11.2","10.6%","±7.6","19.3%","±11.1","4.0%","±6.1","4.1%","±3.7"
"    Females 15 years and over","47,322","±1,469","36.7%","±3.4","7.0%","±1.8","15.8%","±2.5","2.7%","±1.3","37.8%","±3.4"
"15 to 19 years","3,147","±1,036","0.0%","±4.3","0.0%","±4.3","0.0%","±4.3","0.0%","±4.3","100.0%","±4.3"
"20 to 34 years","15,155","±1,604","29.5%","±5.4","0.0%","±0.9","7.4%","±3.4","0.8%","±1.0","62.2%","±5.9"
"35 to 44 years","7,764","±887","47.8%","±9.8","1.4%","±2.0","12.9%","±5.5","9.5%","±6.9","28.5%","±6.6"
"45 to 54 years","7,319","±989","51.3%","±8.5","6.7%","±5.5","22.3%","±6.9","2.3%","±1.8","17.3%","±5.7"
"55 to 64 years","7,746","±981","46.2%","±9.0","3.0%","±2.5","27.6%","±6.5","3.1%","±2.6","20.0%","±7.6"
"65 years and over","6,191","±865","30.1%","±7.9","39.8%","±8.2","25.2%","±8.2","0.0%","±2.2","5.0%","±3.2"
"Population 15 years and over","90,687","±1,720","37.9%","±3.0","4.3%","±1.0","13.4%","±1.8","2.0%","±0.8","42.4%","±2.6"
"RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","",""
"    One race","N","N","N","N","N","N","N","N","N","N","N","N"
"        White","57,931","±2,438","41.9%","±3.8","5.1%","±1.2","15.0%","±2.4","1.5%","±0.9","36.5%","±2.9"
"        Black or African American","20,579","±1,583","28.2%","±5.9","2.6%","±1.5","12.1%","±3.3","3.7%","±2.6","53.3%","±6.1"
"        American Indian and Alaska Native","N","N","N","N","N","N","N","N","N","N","N","N"
"        Asian","3,522","±1,219","40.2%","±14.2","10.5%","±11.8","4.1%","±4.7","2.1%","±3.8","43.0%","±13.0"
"        Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N","N","N","N","N","N","N"
"        Some other race","3,636","±1,197","44.9%","±12.8","0.0%","±3.7","11.1%","±8.5","0.0%","±3.7","44.1%","±12.3"
"    Two or more races","4,230","±867","23.1%","±10.1","0.0%","±3.2","8.9%","±5.8","1.9%","±3.1","66.1%","±12.7"
"Hispanic or Latino origin (of any race)","10,353","±1,352","37.7%","±8.5","2.0%","±1.8","11.0%","±5.3","0.0%","±1.3","49.3%","±6.9"
"White alone, not Hispanic or Latino","52,625","±2,091","42.2%","±3.7","5.2%","±1.2","15.4%","±2.6","1.7%","±1.0","35.5%","±3.0"
"NATIVITY","","","","","","","","","","","",""
"    Native","81,928","±2,303","36.7%","±3.2","4.1%","±0.9","14.1%","±2.0","2.3%","±0.9","42.8%","±2.8"
"    Foreign born","8,759","±2,102","49.0%","±9.1","5.5%","±4.4","6.9%","±5.0","0.0%","±1.6","38.6%","±8.6"
"LABOR FORCE PARTICIPATION","","","","","","","","","","","",""
"    Males 16 years and over","42,466","±1,629","40.0%","±3.4","1.3%","±0.9","11.1%","±2.6","1.3%","±0.9","46.2%","±3.3"
"    In labor force","30,367","±1,818","39.4%","±3.9","0.5%","±0.5","9.7%","±2.7","1.3%","±1.2","49.1%","±4.2"
"        Females 16 years and over","46,716","±1,478","37.2%","±3.5","7.0%","±1.8","16.0%","±2.5","2.7%","±1.3","37.0%","±3.3"
"    In labor force","30,049","±1,958","37.2%","±4.3","1.3%","±0.8","15.3%","±2.9","2.4%","±1.5","43.9%","±4.6"
"PERCENT IMPUTED","","","","","","","","","","","",""
"    Marital status","2.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
