"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some Other Race alone","Margin of Error!!Total:!!Some Other Race alone","Estimate!!Total:!!Two or More Races:","Margin of Error!!Total:!!Two or More Races:","Estimate!!Total:!!Two or More Races:!!Two races including Some Other Race","Margin of Error!!Total:!!Two or More Races:!!Two races including Some Other Race","Estimate!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races","Margin of Error!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races",
"1500000US260650017031","Block Group 1; Census Tract 17.03; Ingham County; Michigan","1248","306","805","229","257","165","0","11","31","63","0","11","96","94","59","59","10","17","49","58",
"1500000US260650017032","Block Group 2; Census Tract 17.03; Ingham County; Michigan","1734","540","1028","454","491","238","0","11","112","158","0","11","13","22","90","97","31","54","59","80",
"1500000US260650017033","Block Group 3; Census Tract 17.03; Ingham County; Michigan","1141","323","519","197","354","126","0","11","26","42","0","11","0","11","242","211","0","11","242","211",
"1500000US260650036011","Block Group 1; Census Tract 36.01; Ingham County; Michigan","932","286","289","132","386","230","0","11","63","64","0","11","88","72","106","82","29","43","77","77",
"1500000US260650036012","Block Group 2; Census Tract 36.01; Ingham County; Michigan","1294","391","411","199","656","365","0","11","0","11","0","11","83","90","144","153","11","20","133","149",
"1500000US260650036013","Block Group 3; Census Tract 36.01; Ingham County; Michigan","1636","571","520","232","751","434","0","11","72","107","0","11","0","11","293","253","23","39","270","245",
"1500000US260650036021","Block Group 1; Census Tract 36.02; Ingham County; Michigan","1283","343","612","209","257","253","44","55","292","225","0","11","11","20","67","83","0","11","67","83",
"1500000US260650036022","Block Group 2; Census Tract 36.02; Ingham County; Michigan","1270","363","405","186","531","283","0","11","180","167","0","11","44","51","110","99","57","62","53","64",
"1500000US260650036023","Block Group 3; Census Tract 36.02; Ingham County; Michigan","1086","535","601","366","146","161","0","11","13","20","0","11","296","360","30","36","11","21","19","27",
"1500000US260650037003","Block Group 3; Census Tract 37; Ingham County; Michigan","892","326","424","154","241","157","0","11","16","26","0","11","0","11","211","216","19","31","192","218",
"1500000US260650037004","Block Group 4; Census Tract 37; Ingham County; Michigan","1241","550","324","139","309","209","0","11","0","11","0","11","479","534","129","149","90","139","39","47",
"1500000US260650037005","Block Group 5; Census Tract 37; Ingham County; Michigan","669","252","429","203","55","90","0","11","42","58","0","11","69","114","74","84","30","59","44","62",
"1500000US260650051001","Block Group 1; Census Tract 51; Ingham County; Michigan","1321","418","1078","416","42","49","3","4","26","47","0","11","39","36","133","128","0","11","133","128",
"1500000US260650051002","Block Group 2; Census Tract 51; Ingham County; Michigan","1551","505","837","331","338","218","0","11","60","92","0","11","25","41","291","274","211","238","80","69",
"1500000US260650051003","Block Group 3; Census Tract 51; Ingham County; Michigan","713","280","475","248","161","147","1","2","0","11","0","11","14","21","62","79","39","73","23","30",
"1500000US260650052011","Block Group 1; Census Tract 52.01; Ingham County; Michigan","1438","465","621","344","679","330","0","11","0","11","0","11","0","11","138","178","79","93","59","90",
"1500000US260650052012","Block Group 2; Census Tract 52.01; Ingham County; Michigan","900","429","563","309","257","256","0","11","0","11","0","11","0","11","80","104","0","11","80","104",
"1500000US260650052013","Block Group 3; Census Tract 52.01; Ingham County; Michigan","1209","516","777","378","300","204","0","11","5","12","0","11","0","11","127","178","127","178","0","11",
"1500000US260650052014","Block Group 4; Census Tract 52.01; Ingham County; Michigan","816","320","706","306","62","72","0","11","18","31","0","11","0","11","30","52","30","52","0","11",
"1500000US260650052015","Block Group 5; Census Tract 52.01; Ingham County; Michigan","900","463","398","290","172","142","0","11","266","335","0","11","52","98","12","21","12","21","0","11",
"1500000US260650070001","Block Group 1; Census Tract 70; Ingham County; Michigan","827","395","537","243","290","274","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US260650070002","Block Group 2; Census Tract 70; Ingham County; Michigan","530","359","397","293","0","11","0","11","0","11","0","11","0","11","133","191","0","11","133","191",
"1500000US260650070004","Block Group 4; Census Tract 70; Ingham County; Michigan","918","346","499","208","419","305","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US260650070005","Block Group 5; Census Tract 70; Ingham County; Michigan","944","332","660","217","255","221","0","11","0","11","0","11","0","11","29","50","0","11","29","50",
