"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some Other Race alone","Margin of Error!!Total:!!Some Other Race alone","Estimate!!Total:!!Two or More Races:","Margin of Error!!Total:!!Two or More Races:","Estimate!!Total:!!Two or More Races:!!Two races including Some Other Race","Margin of Error!!Total:!!Two or More Races:!!Two races including Some Other Race","Estimate!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races","Margin of Error!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races",
"1500000US260650017031","Block Group 1; Census Tract 17.03; Ingham County; Michigan","1210","290","918","295","115","93","0","11","39","55","0","11","105","100","33","32","12","19","21","34",
"1500000US260650017032","Block Group 2; Census Tract 17.03; Ingham County; Michigan","1783","504","1030","384","453","230","0","11","187","223","0","11","34","43","79","88","30","58","49","67",
"1500000US260650017033","Block Group 3; Census Tract 17.03; Ingham County; Michigan","1204","353","715","285","196","117","0","11","32","49","0","11","0","11","261","247","16","27","245","242",
"1500000US260650036011","Block Group 1; Census Tract 36.01; Ingham County; Michigan","1023","433","194","114","476","275","0","11","81","97","0","11","112","104","160","114","0","11","160","114",
"1500000US260650036012","Block Group 2; Census Tract 36.01; Ingham County; Michigan","1211","527","444","223","461","334","0","11","0","11","0","11","94","129","212","207","146","190","66","54",
"1500000US260650036013","Block Group 3; Census Tract 36.01; Ingham County; Michigan","1930","717","491","267","873","482","0","11","249","250","0","11","38","42","279","228","87","72","192","217",
"1500000US260650036021","Block Group 1; Census Tract 36.02; Ingham County; Michigan","1054","389","556","244","84","102","32","51","288","212","0","11","12","21","82","90","13","17","69","88",
"1500000US260650036022","Block Group 2; Census Tract 36.02; Ingham County; Michigan","1142","349","480","186","421","288","0","11","33","51","0","11","67","69","141","101","49","51","92","82",
"1500000US260650036023","Block Group 3; Census Tract 36.02; Ingham County; Michigan","1164","645","586","400","199","236","0","11","17","27","0","11","313","375","49","43","9","19","40","40",
"1500000US260650037003","Block Group 3; Census Tract 37; Ingham County; Michigan","937","422","343","177","261","228","0","11","233","254","0","11","0","11","100","145","0","11","100","145",
"1500000US260650037004","Block Group 4; Census Tract 37; Ingham County; Michigan","1139","522","374","198","318","228","100","141","0","11","0","11","205","303","142","160","87","139","55","63",
"1500000US260650037005","Block Group 5; Census Tract 37; Ingham County; Michigan","721","254","584","212","0","11","0","11","0","11","0","11","75","117","62","101","62","101","0","11",
"1500000US260650051001","Block Group 1; Census Tract 51; Ingham County; Michigan","1172","365","936","354","46","46","22","26","24","43","0","11","16","18","128","105","23","28","105","100",
"1500000US260650051002","Block Group 2; Census Tract 51; Ingham County; Michigan","1419","541","913","403","190","132","0","11","44","66","0","11","21","35","251","259","210","236","41","50",
"1500000US260650051003","Block Group 3; Census Tract 51; Ingham County; Michigan","568","196","274","125","156","150","1","2","0","11","0","11","7","11","130","130","63","112","67","75",
"1500000US260650052011","Block Group 1; Census Tract 52.01; Ingham County; Michigan","1114","515","454","245","582","503","0","11","0","11","0","11","0","11","78","106","45","58","33","55",
"1500000US260650052012","Block Group 2; Census Tract 52.01; Ingham County; Michigan","1367","482","882","368","376","292","0","11","0","11","0","11","0","11","109","118","0","11","109","118",
"1500000US260650052013","Block Group 3; Census Tract 52.01; Ingham County; Michigan","973","638","572","336","209","242","0","11","0","11","0","11","0","11","192","257","192","257","0","11",
"1500000US260650052014","Block Group 4; Census Tract 52.01; Ingham County; Michigan","1212","449","787","296","35","52","0","11","356","391","0","11","0","11","34","56","34","56","0","11",
"1500000US260650052015","Block Group 5; Census Tract 52.01; Ingham County; Michigan","716","382","271","178","151","135","0","11","263","332","0","11","16","32","15","23","15","23","0","11",
"1500000US260650070001","Block Group 1; Census Tract 70; Ingham County; Michigan","895","348","563","197","309","284","0","11","0","11","0","11","23","34","0","11","0","11","0","11",
"1500000US260650070002","Block Group 2; Census Tract 70; Ingham County; Michigan","388","247","178","73","19","32","0","11","0","11","0","11","0","11","191","228","0","11","191","228",
"1500000US260650070004","Block Group 4; Census Tract 70; Ingham County; Michigan","908","317","417","148","491","298","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US260650070005","Block Group 5; Census Tract 70; Ingham County; Michigan","1037","374","629","205","270","238","0","11","108","180","0","11","0","11","30","56","0","11","30","56",
