"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1500000US260650017031","Block Group 1, Census Tract 17.03, Ingham County, Michigan","1125","234","739","232","229","126","0","11","60","81","0","11","41","42","56","56","15","24","41","50",
"1500000US260650017032","Block Group 2, Census Tract 17.03, Ingham County, Michigan","1808","468","1043","379","488","214","0","11","191","191","0","11","18","21","68","84","0","11","68","84",
"1500000US260650017033","Block Group 3, Census Tract 17.03, Ingham County, Michigan","1057","256","469","199","440","161","0","11","0","11","0","11","0","11","148","137","0","11","148","137",
"1500000US260650036011","Block Group 1, Census Tract 36.01, Ingham County, Michigan","868","276","313","139","282","192","0","11","85","75","0","11","50","50","138","99","31","46","107","94",
"1500000US260650036012","Block Group 2, Census Tract 36.01, Ingham County, Michigan","1407","400","477","211","701","375","0","11","69","104","0","11","69","79","91","127","0","11","91","127",
"1500000US260650036013","Block Group 3, Census Tract 36.01, Ingham County, Michigan","1430","545","404","253","606","299","0","11","248","263","0","11","0","11","172","209","26","43","146","204",
"1500000US260650036021","Block Group 1, Census Tract 36.02, Ingham County, Michigan","1031","394","607","213","300","275","61","74","0","11","0","11","12","22","51","83","0","11","51","83",
"1500000US260650036022","Block Group 2, Census Tract 36.02, Ingham County, Michigan","1539","411","310","151","698","301","0","11","420","264","0","11","42","36","69","84","13","22","56","72",
"1500000US260650036023","Block Group 3, Census Tract 36.02, Ingham County, Michigan","1181","564","578","386","233","157","0","11","13","22","0","11","319","371","38","40","15","26","23","28",
"1500000US260650037003","Block Group 3, Census Tract 37, Ingham County, Michigan","983","298","588","203","214","138","0","11","0","11","0","11","0","11","181","180","18","29","163","183",
"1500000US260650037004","Block Group 4, Census Tract 37, Ingham County, Michigan","1255","419","592","249","307","193","0","11","0","11","0","11","245","344","111","128","75","117","36","44",
"1500000US260650037005","Block Group 5, Census Tract 37, Ingham County, Michigan","947","478","413","132","26","47","0","11","438","444","0","11","0","11","70","73","0","11","70","73",
"1500000US260650051001","Block Group 1, Census Tract 51, Ingham County, Michigan","1105","328","925","334","23","33","3","5","22","39","0","11","33","38","99","97","0","11","99","97",
"1500000US260650051002","Block Group 2, Census Tract 51, Ingham County, Michigan","1543","528","794","358","403","227","0","11","35","58","0","11","0","11","311","263","207","237","104","121",
"1500000US260650051003","Block Group 3, Census Tract 51, Ingham County, Michigan","816","333","383","160","423","298","1","3","0","11","0","11","0","11","9","15","0","11","9","15",
"1500000US260650052011","Block Group 1, Census Tract 52.01, Ingham County, Michigan","1399","361","768","283","406","235","0","11","0","11","0","11","0","11","225","218","89","101","136","136",
"1500000US260650052012","Block Group 2, Census Tract 52.01, Ingham County, Michigan","792","283","585","264","123","125","11","18","0","11","0","11","0","11","73","96","0","11","73","96",
"1500000US260650052013","Block Group 3, Census Tract 52.01, Ingham County, Michigan","953","415","692","318","255","204","0","11","6","14","0","11","0","11","0","11","0","11","0","11",
"1500000US260650052014","Block Group 4, Census Tract 52.01, Ingham County, Michigan","800","241","718","248","63","80","0","11","19","32","0","11","0","11","0","11","0","11","0","11",
"1500000US260650052015","Block Group 5, Census Tract 52.01, Ingham County, Michigan","1274","461","624","269","319","267","0","11","277","341","0","11","42","89","12","24","0","11","12","24",
"1500000US260650070001","Block Group 1, Census Tract 70, Ingham County, Michigan","834","344","539","222","295","279","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US260650070002","Block Group 2, Census Tract 70, Ingham County, Michigan","598","347","474","301","11","19","0","11","0","11","0","11","0","11","113","170","0","11","113","170",
"1500000US260650070004","Block Group 4, Census Tract 70, Ingham County, Michigan","834","353","595","280","220","220","0","11","0","11","0","11","0","11","19","38","0","11","19","38",
"1500000US260650070005","Block Group 5, Census Tract 70, Ingham County, Michigan","1115","352","767","227","257","241","0","11","0","11","0","11","0","11","91","80","0","11","91","80",
